314,Tamil Nadu Teacher Education University,Chennai
318,Hindustan Institute of Technology and Science,Chennai
342,Bharath Institute of Higher Education and Research,Chennai
358,Saveetha University,Chennai
371,Tamil Nadu Dr Ambedkar Law University,Chennai
406,Vels University,Chennai
409,B.S. Abdur Rahman Crescent Institute of Science and Technology,Chennai
530,Dr. M.G.R. Educational and Research Institute,Chennai
623,Tamil Nadu Physical Education and Sports University,Chennai
627,Tamil Nadu Veterinary and Animal Sciences University,Chennai ...
719,St. Peter's University,Chennai
731,Dakshina Bharat Hindi Prachar Sabha,Chennai
809,Meenakshi Academy of Higher Education and Research,Chennai
861,Tamil Nadu Music and Fine Arts University,Chennai
671,Kerala Kalamandalam,Cheruthuruthi
535,Maharaja Chhatrasal Bundelkhand University,Chhatarpur
54,Annamalai University,Chidambaram
640,Mahatma Gandhi Chitrakoot Gramoday Vishwavidyalaya,Chitrakoot
752,Jagadguru Rambhadracharya Handicapped University,Chitrakoot
537,Mewar University,Chittorgarh
860,Sangai International University,Churachandpur
547,OPJS University,Churu
487,Graphic Era Hill University,Clement Town
19,Amrita Vishwa Vidyapeetham,Coimbatore ...
33,Tamil Nadu Agricultural University,Coimbatore ...
120,Bharathiar University,Coimbatore
122,Karunya Institute of Technology and Sciences,Coimbatore
550,Avinashilingam University,Coimbatore
738,Karpagam Academy of Higher Education,Coimbatore
566,Cooch Behar Panchanan Barma University,Cooch Behar
220,Ravenshaw University,Cuttack
495,"National Law University, Orissa",Cuttack
624,Sri Sri University,Cuttack
50,Shiv Nadar University,Dadri
469,Dr. Balasaheb Sawant Konkan Krishi Vidyapeeth,Dapoli
114,Lalit Narayan Mithila University,Darbhanga
682,Kameshwar Singh Darbhanga Sanskrit University,Darbhanga
520,Davangere University,Davangere
69,University of Petroleum and Energy Studies,Dehradun
216,DIT University,Dehradun
298,Graphic Era University,Dehradun
330,Uttarakhand Technical University,Dehradun
485,Uttaranchal University,Dehradun
506,Doon University,Dehradun
518,IMS Unison University,Dehradun
544,Hemwati Nandan Bahuguna Medical University,Dehradun
601,"ICFAI University, Dehradun",Dehradun
616,Swami Rama Himalayan University,Dehradun
673,Uttarakhand Ayurved University,Dehradun
700,Himgiri ZEE University,Dehradun
730,Shri Guru Ram Rai University,Dehradun
742,Forest Research Institute,Dehradun
869,Ras Bihari Bose Subharti University,Dehradun
870,Shri Guru Ram Rai Education Mission,Dehradun ...
89,Indian School of Mines,Dhanbad
274,Karnatak University,Dharwad
458,"University of Agricultural Sciences, Dharwad",Dharwad
856,Indrashil University,Dholera
126,Dibrugarh University,Dibrugarh
569,"National Institute of Technology, Nagaland",Dimapur
843,"ICFAI University, Nagaland",Dimapur
859,St. Joseph University,Dimapur
841,Rai Technology University,Doddaballapura
511,Sido Kanhu Murmu University,Dumka
850,"ICFAI University, Raipur",Durg
129,"National Institute of Technology, Durgapur",Durgapur
47,Indian Institute of Technology Hyderabad,Eddumailaram
757,Dr. B.R. Ambedkar University,Etcherla
136,Dr. Ram Manohar Lohia Avadh University,Faizabad
608,Narendra Dev University of Agriculture and Technology,Faizabad
264,YMCA University of Science and Technology,Faridabad
529,Lingaya's University,Faridabad
688,Al-Falah University,Faridabad
847,Haryana Vishwakarma Skill University,Faridabad
Un,Manav Rachna University,Faridabad
Un,Manav Rachna International Institute of Research and Studies,Faridabad
127,Baba Farid University of Health Sciences,Faridkot
420,"National Institute of Technology, Goa",Farmagudi
712,Sri Guru Granth Sahib World University,Fatehgarh Sahib
863,Karnataka State Rural Development and Panchayat Raj University,Gadag
571,Gondwana University,Gadchiroli
722,Shri Venkateshwara University,Gajraula
842,Arka Jain University,Gamharia
291,Gandhigram Rural University,Gandhigram
117,Dhirubhai Ambani Institute of Information and Communication Technology,Gandhinagar
218,Pandit Deendayal Petroleum University,Gandhinagar
279,Central University of Gujarat,Gandhinagar
294,Gujarat National Law University,Gandhinagar
476,Gujarat Forensic Sciences University,Gandhinagar
560,"Indian Institute of Information Technology, Vadodara",Gandhinagar
610,Indian Institute of Teacher Education,Gandhinagar
